"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","182","GET /users/{email} for unknown user should match error contract","api-prod","2026-04-21","failed","2026-04-21","Users API - Contract Scenarios @contract","users\contract\user.contract.api.spec.ts","",""
"","127","should reject age = 0","api-prod","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","300","should return 401 when deleting without auth token","api-dev","2026-04-21","failed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","212","seed","api-dev","2026-04-21","passed","2026-04-21","Test group","seed.spec.ts","",""
"","347","should return 404 when getting a non-existing user","api-dev","2026-04-21","failed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","515","should allow age = 1","api-dev","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","154","DELETE without authentication should match error contract","api-prod","2026-04-21","passed","2026-04-21","Users API - Contract Scenarios @contract","users\contract\user.contract.api.spec.ts","",""
"","125","GET /users/{email} for unknown user should match error contract","api-dev","2026-04-21","failed","2026-04-21","Users API - Contract Scenarios @contract","users\contract\user.contract.api.spec.ts","",""
"","139","should return 409 when creating a duplicate user","api-prod","2026-04-21","failed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","134","should return 400 when creating user with invalid email","api-prod","2026-04-21","failed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","408","should create a valid user successfully","api-dev","2026-04-21","passed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","272","should list users successfully","api-dev","2026-04-21","passed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","137","should reject age = 151","api-prod","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","254","DELETE without authentication should match error contract","api-dev","2026-04-21","failed","2026-04-21","Users API - Contract Scenarios @contract","users\contract\user.contract.api.spec.ts","",""
"","154","should allow age = 150","api-dev","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","92","should update an existing user successfully","api-prod","2026-04-21","passed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","183","should delete an existing user with valid auth token","api-prod","2026-04-21","failed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","152","POST /users should match user contract","api-prod","2026-04-21","passed","2026-04-21","Users API - Contract Scenarios @contract","users\contract\user.contract.api.spec.ts","",""
"","122","should return 404 when getting a non-existing user","api-prod","2026-04-21","failed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","186","seed","api-prod","2026-04-21","passed","2026-04-21","Test group","seed.spec.ts","",""
"","74","should return 401 when deleting with invalid token","api-prod","2026-04-21","passed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","363","should return 401 when deleting with invalid token","api-dev","2026-04-21","failed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","124","GET /users should match users list contract","api-prod","2026-04-21","passed","2026-04-21","Users API - Contract Scenarios @contract","users\contract\user.contract.api.spec.ts","",""
"","167","should return 401 when deleting without auth token","api-prod","2026-04-21","passed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","197","should return 400 when creating user with invalid email","api-dev","2026-04-21","failed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","68","should create a valid user successfully","api-prod","2026-04-21","passed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","109","should reject age = 0","api-dev","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","512","GET /users should match users list contract","api-dev","2026-04-21","passed","2026-04-21","Users API - Contract Scenarios @contract","users\contract\user.contract.api.spec.ts","",""
"","59","should return 404 when updating a non-existing user","api-prod","2026-04-21","passed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","112","should allow age = 150","api-prod","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","58","should list users successfully","api-prod","2026-04-21","passed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","309","should return 404 when updating a non-existing user","api-dev","2026-04-21","passed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","303","should update an existing user successfully","api-dev","2026-04-21","passed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","95","should reject age = 151","api-dev","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","183","POST /users should match user contract","api-dev","2026-04-21","passed","2026-04-21","Users API - Contract Scenarios @contract","users\contract\user.contract.api.spec.ts","",""
"","253","should delete an existing user with valid auth token","api-dev","2026-04-21","failed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","169","should return 409 when creating a duplicate user","api-dev","2026-04-21","failed","2026-04-21","Users API - Negative Scenarios @negative","users\negative\user.negative.api.spec.ts","",""
"","103","should allow age = 1","api-prod","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","132","should reject empty name","api-prod","2026-04-21","passed","2026-04-21","Users API - Boundary Scenarios @boundary","users\boundary\user.boundary.api.spec.ts","",""
"","296","should get an existing user by email","api-dev","2026-04-21","passed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
"","73","should get an existing user by email","api-prod","2026-04-21","passed","2026-04-21","Users API - Positive Scenarios @positive","users\positive\user.positive.api.spec.ts","",""
